timestamp,face_detected,eye_contact_score,posture_score,expression_score,stress_score,attention_score,confidence_score,honesty_score,movement_score,expression_label
2026-05-17T15:54:30,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,89.98,not visible
2026-05-17T15:54:31,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,90.16,not visible
2026-05-17T15:54:32,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,87.59,not visible
2026-05-17T15:54:33,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,90.94,not visible
2026-05-17T15:54:34,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,90.5,not visible
2026-05-17T15:54:36,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,88.12,not visible
2026-05-17T15:54:37,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,93.5,not visible
2026-05-17T15:54:38,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,88.72,not visible
2026-05-17T15:54:39,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,90.74,not visible
2026-05-17T15:54:40,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,90.42,not visible
2026-05-17T15:54:41,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,89.64,not visible
2026-05-17T15:54:42,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,89.53,not visible
2026-05-17T15:54:43,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,89.62,not visible
2026-05-17T15:54:44,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,90.41,not visible
2026-05-17T15:54:45,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,88.61,not visible
2026-05-17T15:54:46,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,90.22,not visible
2026-05-17T15:54:47,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,88.34,not visible
2026-05-17T15:54:48,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,90.21,not visible
2026-05-17T15:54:49,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,90.59,not visible
2026-05-17T15:54:50,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,91.5,not visible
2026-05-17T15:54:51,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,90.11,not visible
2026-05-17T15:54:52,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,92.44,not visible
2026-05-17T15:54:53,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,89.69,not visible
2026-05-17T15:54:54,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,86.62,not visible
2026-05-17T15:54:55,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,90.86,not visible
2026-05-17T15:54:56,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,91.42,not visible
2026-05-17T15:54:57,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,92.22,not visible
2026-05-17T15:54:58,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,90.08,not visible
2026-05-17T15:54:59,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,92.94,not visible
2026-05-17T15:55:01,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,91.02,not visible
2026-05-17T15:55:02,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,91.0,not visible
2026-05-17T15:55:03,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,91.73,not visible
2026-05-17T15:55:04,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,89.74,not visible
2026-05-17T15:55:05,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,91.55,not visible
2026-05-17T15:55:06,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,90.44,not visible
2026-05-17T15:55:07,0,10.0,25.0,35.0,78.0,10.0,22.0,28.0,88.83,not visible
